Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg▲,,OWS,DWS,WS,WS/40
Brittney Griner,PHO,C,31,856,31,856,25.1,0.605,0.563,0.023,0.349,5.7,14.1,17.6,1,4.9,12.8,28.2,110,107,,2.4,0.7,3.1,0.146
Cyesha Goree,WAS,F,10,116,10,116,10.3,0.556,0.516,0.438,0.219,6.9,6.1,1.5,1.3,0.8,10.2,15.4,106,107,,0.1,0.1,0.2,0.077
Kahleah Copper,CHI,G-F,38,1184,38,1184,16.4,0.545,0.507,0.292,0.26,2.4,8.3,12,1.5,0.7,12.6,28.2,101,107,,1.1,0.9,2.1,0.07
Evina Westbrook,TOT,G,18,128,18,128,-0.3,0.298,0.2,0.533,0.267,2.8,8.1,11.8,1.2,2.1,23,15.8,62,108,,-0.5,0.1,-0.4,-0.136
Jessica Shepard,MIN,F,21,565,21,565,15.8,0.573,0.516,0.016,0.421,8.9,15.2,19,1.1,0.3,16.7,14.4,116,108,,1.3,0.4,1.7,0.121
Arike Ogunbowale,DAL,G,40,1489,40,1489,16.7,0.518,0.475,0.453,0.203,1.4,5.1,20.1,2.3,0.2,11.4,26.2,107,108,,3.2,1,4.2,0.113
Diamond Miller,MIN,G,32,834,32,834,12.3,0.498,0.448,0.291,0.274,3.1,7.9,17.1,1.8,1.2,15.8,25,93,108,,-0.4,0.6,0.2,0.007
Li Meng,WAS,G,34,539,34,539,8.9,0.541,0.512,0.738,0.159,1.3,3.9,10.7,0.9,0.2,13.8,17.3,98,108,,0.1,0.4,0.5,0.037
Jade Melbourne,SEA,G,29,307,29,307,6.5,0.495,0.414,0.313,0.453,2.2,6.3,18.6,2,0.3,25.3,14.8,90,108,,-0.2,0.2,0,0.001
Marina Mabrey,CHI,G,39,1169,39,1169,15.9,0.542,0.502,0.464,0.224,3.3,7.4,20.3,1.3,1.3,13.8,23.9,105,108,,1.8,0.8,2.6,0.089
Jewell Loyd,SEA,G,38,1344,38,1344,20.1,0.525,0.445,0.419,0.372,3.4,7.5,20.2,1.4,1,10.6,33,104,108,,2.6,0.8,3.4,0.102
Lexie Hull,IND,G,30,619,30,619,7.3,0.446,0.417,0.414,0.152,6.7,8,7.8,2.5,1.3,16.2,13.4,92,108,,-0.2,0.4,0.2,0.011
Ivana Dojkić,SEA,G,23,461,23,461,11.2,0.544,0.5,0.462,0.361,1,4.9,23.9,2,0.7,20.2,16.6,101,108,,0.3,0.3,0.6,0.053
Jasmine Dickey,DAL,G,14,87,14,87,4.9,0.396,0.382,0.029,0.176,9,7.2,1.7,2.3,1,12,20.2,84,108,,-0.2,0.1,-0.1,-0.043
Emma Cannon,IND,F,30,314,30,314,16.6,0.571,0.504,0.254,0.328,9.1,18.2,8.1,0.7,0.6,17.7,26.6,102,108,,0.4,0.2,0.6,0.077
Morgan Bertsch,CHI,F,28,398,28,398,7.6,0.554,0.534,0.35,0.155,3.5,7,7.4,1.3,1.4,21.4,15.7,93,108,,-0.1,0.3,0.1,0.012
Erica Wheeler,IND,G,40,1071,40,1071,13.6,0.489,0.439,0.264,0.223,1.8,6.8,30.7,2.1,0.3,17.1,20.3,101,109,,0.9,0.5,1.4,0.054
Odyssey Sims,DAL,G,28,335,28,335,7.1,0.353,0.319,0.217,0.29,2.7,6.3,24.9,1.8,0,17.9,11.9,93,109,,-0.1,0.2,0.1,0.01
Maddy Siegrist,DAL,F,39,319,39,319,19.2,0.585,0.531,0.134,0.259,12.6,10.9,4,1.3,1.9,6.7,17.7,126,109,,1.2,0.2,1.4,0.175
Aerial Powers,MIN,F-G,20,195,20,195,14.3,0.507,0.446,0.207,0.261,3.6,10.7,14.4,0.8,0.9,14.9,28,94,109,,-0.1,0.1,0,0.003
Shey Peddy,PHO,G,18,285,18,285,13.1,0.506,0.464,0.548,0.238,3.1,7,19.3,2.9,0,9.7,16.9,107,109,,0.4,0.1,0.5,0.074
Robyn Parks,CHI,F,37,505,37,505,8.1,0.51,0.496,0.626,0.05,3.4,6.9,4.8,1.2,0.8,11.8,14.3,97,109,,0.1,0.3,0.3,0.028
Kia Nurse,SEA,G,40,789,40,789,7.9,0.478,0.451,0.614,0.116,1.7,6.5,11.3,1.5,0.2,10.6,15.4,96,109,,0,0.4,0.5,0.023
Kayla McBride,MIN,G,38,1208,38,1208,14.5,0.56,0.518,0.551,0.222,1.4,5.9,12.3,2,0.4,11.8,20.6,105,109,,1.6,0.7,2.2,0.074
